Function,Dimension,DRO_Value,DRO_Std,BO_Value,BO_Std,DRO_Time,BO_Time,Relative_Improvement
Ackley,4,-0.7061511129140854,0.2730538994073868,-6.023749508188896,0.1882822456064872,228.43721389770508,2.695286989212036,88.27721650851984
Ackley,8,-0.6601839065551758,0.09124130010604858,-7.925697086568639,0.6197175843453424,361.46385884284973,1.5802644491195679,91.67033638373636
Ackley,16,-3.803501605987549,0.0,-8.402524741947872,0.0,9514.006949186325,255.23236107826233,54.73382438257693
Ackley,32,-4.020294189453125,0.0,-9.697641984236634,0.0,12105.055228948593,0.7741439342498779,58.543590328576265
Rosenbrock,4,-3.2878395318984985,0.08827197551727295,-51.58270529566508,20.459450832916332,5313.666484475136,6.973100066184998,93.62608162357316
Rosenbrock,8,-15.103069305419922,4.170646667480469,-541.2494621118979,87.16246378844329,328.53720104694366,3.980029821395874,97.20959181252775
Rosenbrock,16,-283.7897644042969,0.0,-2413.364183764315,0.0,317.97991919517517,1.946192979812622,88.24090593895997
Rosenbrock,32,-281.459716796875,0.0,-9790.258381232217,0.0,231.84827089309692,1.0921881198883057,97.12510430433144
Levy,4,-0.48406340181827545,0.19181309640407562,-7.859621337384839,1.2945436826796723,271.56933748722076,2.8765804767608643,93.84113583798505
Levy,8,-1.1279955804347992,0.2639242708683014,-47.48129043293491,11.67273221403682,279.0474841594696,1.5833370685577393,97.62433672263386
Levy,16,-3.8685832023620605,0.0,-75.10462557546,0.0,280.62577080726624,2.0839829444885254,94.84907464391101
Levy,32,-4.566416263580322,0.0,-311.30303955078125,0.0,193.2770540714264,1.1325569152832031,98.53312827585307
